HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
Alaska Native Medical Center,Anchorage,Alaska,1,1,1,5
Providence Alaska Medical Center/Children's Hospital at Providence,Anchorage,Alaska,1,1,1,5
Banner Desert Medical Center/Banner Children's at Desert,Mesa,Arizona,1,1,1,5
Loma Linda University Medical Center/Loma Linda University Children's Hospital,Loma Linda,California,1,1,1,5
Providence Mission Hospital,Mission Viejo,California,1,1,1,5
Stanford Health Care/Lucile Packard Children's Hospital Stanford,Palo Alto,California,1,1,1,5
Denver Health Medical Center,Denver,Colorado,1,1,1,5
Yale-New Haven Hospital,New Haven,Connecticut,1,1,1,5
Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Hollywood,Florida,1,1,1,5
Ascension Sacred Heart Pensacola,Pensacola,Florida,1,1,1,5
St. Joseph's Hospital,Tampa,Florida,1,1,1,5
Augusta University Medical Center,Augusta,Georgia,1,1,1,5
OSF St. Francis Medical Center/OSF Children's Hospital of Illinois	,Peoria,Illinois,1,1,1,5
St. John's Hospital/St. John's Children's Hospital	,Springfield,Illinois,1,1,1,5
Ascension St. Vincent Evansville,Evansville,Indiana,1,1,1,5
Parkview Regional Medical Center,Fort Wayne,Indiana,1,1,1,5
MercyOne Des Moines Medical Center,Des Moines,Iowa,1,1,1,5
UnityPoint Health - Iowa Methodist Medical Center/Blank Children's Hospital,Des Moines,Iowa,1,1,1,5
Wesley Healthcare Center/Wesley Children's Hospital,Wichita,Kansas,1,1,1,5
University of Kentucky Albert B. Chandler Hospital ,Lexington,Kentucky,1,1,1,5
Boston Medical Center,Boston,Massachusetts,1,1,1,5
Tufts Medical Center,Boston,Massachusetts,1,1,1,5
Baystate Medical Center,Springfield,Massachusetts,1,1,1,5
Ascension St. John Hospital,Detroit,Michigan,1,1,1,5
Beaumont Hospital - Royal Oak,Royal Oak,Michigan,1,1,1,5
Covenant HealthCare,Saginaw ,Michigan,1,1,1,5
Essentia Health St. Mary's Medical Center,Duluth,Minnesota ,1,1,1,5
"Mayo Clinic Hospital, Saint Mary's Campus",Rochester,Minnesota ,1,1,1,5
Dartmouth-Hitchcock Medical Center,Lebanon,New Hampshire,1,1,1,5
Cooper University Health Care,Camden,New Jersey,1,1,1,5
Jersey Shore University Medical Center,Neptune,New Jersey,1,1,1,5
Robert Wood Johnson University Hospital,New Brunswick,New Jersey,1,1,1,5
New Jersey Trauma Center at the University Hospital,Newark,New Jersey,1,1,1,5
Albany Medical Center,Albany,New York,1,1,1,5
Maimonides Medical Center/Maimonides Children's Hospital,Brooklyn,New York,1,1,1,5
Richmond University Medical Center,Staten Island,New York,1,1,1,5
Good Samaritan Hospital Medical Center,West Islip,New York,1,1,1,5
Carolinas Medical Center/Levine Children's Hospital,Charlotte,North Carolina,1,1,1,5
Vidant Medical Center/Maynard Children's Hospital,Greenville,North Carolina,1,1,1,5
Sanford Medical Center Fargo,Fargo,North Dakota,1,1,1,5
ProMedica Toledo Hospital/Russell J. Ebeid Children's Hospital,Toledo,Ohio,1,1,1,5
OU Medical Center,Oklahoma City,Oklahoma,1,1,1,5
Oregon Health & Science University/Doernbecher Children's Hospital,Portland,Oregon,1,1,1,5
Geisinger Medical Center/ Geisinger Janet Weis Children's Hospital,Danville,Pennsylvania,1,1,1,5
Penn State Milton S. Hershey Medical Center/Penn State Children's Hospital,Hershey,Pennsylvania,1,1,1,5
Prisma Health Richland,Columbia,South Carolina,1,1,1,5
Prisma Health Greenville Memorial Hospital,Greenville,South Carolina,1,1,1,5
Grand Strand Medical Center,Myrtle Beach,South Carolina,1,1,1,5
Sanford USD Medical Center,Sioux Falls,South Dakota,1,1,1,5
Baylor Scott & White Medical Center - Temple,Temple,Texas,1,1,1,5
Carilion Roanoke Memorial Hospital,Roanoke,Virginia,1,1,1,5
Providence Sacred Heart Medical Center & Children's Hospital,Spokane,Washington,1,1,1,5
West Virginia University Hospitals (J.W. Ruby Memorial Hospital),Morgantown,West Virginia,1,1,1,5
Marshfield Medical Center,Marshfield,Wisconsin,1,1,1,5
Southeast Alabama Medical Center,Dothan,Alabama,1,0,0,2
Huntsville Hospital ,Huntsville,Alabama,1,0,0,2
Baptist Medical Center South ,Montgomery,Alabama,1,0,0,2
Chandler Regional Medical Center,Chandler,Arizona,1,0,0,2
Flagstaff Medical Center,Flagstaff,Arizona,1,0,0,2
Banner Thunderbird Medical Center,Glendale,Arizona,1,0,0,2
Abrazo West Campus,Goodyear,Arizona,1,0,0,2
Banner University Medical Center - Phoenix,Phoenix,Arizona,1,0,0,2
HonorHealth Deer Valley Medical Center,Phoenix,Arizona,1,0,0,2
HonorHealth John C. Lincoln Medical Center,Phoenix,Arizona,1,0,0,2
Phoenix Children's Hospital,Phoenix,Arizona,0,1,0,2
St. Joseph's Hospital and Medical Center,Phoenix,Arizona,1,0,0,2
HonorHealth Scottsdale Osborn Medical Center,Scottsdale,Arizona,1,0,0,2
Carondelet St. Joseph's Hospital,Tucson,Arizona,1,0,0,2
Washington Regional Medical Center,Fayetteville,Arkansas,1,0,0,2
CHI St. Vincent Hospital Hot Springs,Hot Springs,Arkansas,1,0,0,2
Baptist Health Medical Center,Little Rock,Arkansas,1,0,0,2
CHI St. Vincent Infirmary ,Little Rock,Arkansas,1,0,0,2
UAMS Medical Center,Little Rock ,Arkansas,1,0,0,2
Mercy San Juan Medical Center,Carmichael,California,1,0,0,2
Sutter Health Eden Medical Center,Castro Valley,California,1,0,0,2
Enloe Medical Center,Chico,California,1,0,0,2
Palomar Medical Center Escondido,Escondido,California,1,0,0,2
NorthBay Medical Center,Fairfield,California,1,0,0,2
San Joaquin General Hospital,French Camp,California,1,0,0,2
Scripps Memorial Hospital,La Jolla,California,1,0,0,2
Antelope Valley Hospital ,Lancaster,California,1,0,0,2
Long Beach Medical Center,Long Beach,California,1,0,0,2
St. Mary Medical Center Long Beach,Long Beach,California,1,0,0,2
California Hospital Medical Center,Los Angeles,California,1,0,0,2
Ronald Reagan UCLA Medical Center,Los Angeles,California,1,0,0,2
Children's Hospital Los Angeles,Los Angeles ,California,0,1,0,2
St. Francis Medical Center Lynwood,Lynwood,California,1,0,0,2
Valley Children's Healthcare,Madera,California,0,1,0,2
Providence Holy Cross Medical Center,Mission Hills,California,1,0,0,2
Doctors Medical Center,Modesto,California,1,0,0,2
Memorial Medical Center,Modesto,California,1,0,0,2
Riverside University Health System Medical Center,Moreno Valley,California,1,0,0,2
Northridge Hospital Medical Center,Northridge ,California,1,0,0,2
Highland Hospital,Oakland,California,1,0,0,2
UCSF Benioff Children's Hospital Oakland,Oakland,California,0,1,0,2
Children's Hospital of Orange County,Orange,California,0,1,0,2
Desert Regional Medical Center,Palm Springs,California,1,0,0,2
Huntington Hospital,Pasadena,California,1,0,0,2
Pomona Valley Hospital Medical Center,Pomona,California,1,0,0,2
Mercy Medical Center Redding,Redding,California,1,0,0,2
HCA Riverside Community Hospital,Riverside ,California,1,0,0,2
Sutter Roseville Medical Center,Roseville,California,1,0,0,2
