STATE_FULL,HOSPITAL_NAME,BURN_BEDS
Georgia,Doctors Hospital of Augusta (Joseph M. Still Burn Center),99.0
New York,University of Rochester Medical Center/Strong Memorial Hospital (Kessler Burn Center),50.0
Arizona,Valleywise Health (Arizona Burn Center),45.0
Washington,UW Medicine/Harborview Medical Center (UW Medicine Regional Burn Center at Harborview),40.0
Texas,Brooke Army Medical Center (USAISR Burn Center),40.0
Virginia,Chippenham Hospital (Wound Healing Center),36.0
North Carolina,University of North CarolinaHospitals/North Carolina Children's Hospital (North Carolina Jaycee Burn Center),36.0
Arizona,Banner University Medical Center - Tucson (Burn Unit at Banner),35.0
District of Columbia,Children's National Health System (Children's National Trauma and Burn Center),31.0
Texas,Burn and Reconstructive Centers of America at Methodist Hospital,31.0
Texas,Parkland Memorial Hospital (Parkland Burn Center),30.0
Georgia,Joseph M. Still Burn Center at WellStar Cobb Hospital ,30.0
Texas,Dell Seton Medical Center at the University of Texas (w/ Burn Center),30.0
Texas,Shriners Hospital for Children - Galveston Pediatric Burn Center,30.0
Alabama,University of Alabama at Birmingham Hospital (UAB Burn Center),28.0
Florida,UF Health Shands Hospital (UF Health Shands Burn Center),27.0
Illinois,John H. Stroger Jr. Hospital of Cook County (Sumner L. Koch Burn Center),26.0
Tennessee,Vanderbilt University Medical Center/Monroe Carell Jr. Children's Hospital at Vanderbilt (Vanderbilt Burn Center),25.0
South Carolina,MUSC Health University Medical Center (South Carolina Burn Center at MUSC),25.0
North Carolina,Wake Forest Baptist Medical Center/Brenner Children's Hospital (Wake Forest Baptist Burn Center),24.0
Missouri,Barnes-Jewish Hospital (Burn Center),24.0
Massachusetts,Massachusetts General Hospital (Sumner M. Redstone Burn Center),22.0
Missouri,University of Missouri Health System (George D. Peak Memorial Burn & Wound Center),21.0
Illinois,Loyola University Medical Center (Loyola Burn Center),21.0
Maryland,Johns Hopkins Bayview Medical Center (Johns Hopkins Adult Burn Center),20.0
Oklahoma,Paul Silvertein Burn Center,20.0
Louisiana,University Medical Center New Orleans (UMC Burn Center),20.0
Colorado,Swedish Medical Center (Burn and Reconstructive Centers of Colorado),20.0
California,LAC + USC Medical Center (LAC + USC Regional Burn Center),20.0
New York,New York-Presbyterian Hospital/Weill Cornell Medical Center (William Randolph Hearst Burn Center),20.0
Colorado,University of Colorado Hospital (Burn & Frostbite Center at UCHealth),19.0
Pennsylvania,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),18.0
Pennsylvania,St. Christopher's Hospital for Children (Stuart J. Hulnick Burn Center),18.0
Ohio,Ohio State University Wexner Medical Center (The Ohio State Comprehensive Burn Center),18.0
Florida,Kendall Regional Medical Center (Burn and Reconstructive Centers of FL),18.0
Florida,Tampa General Hospital (Tampa General Hospital Regional Burn Center),18.0
Alabama,USA Health University Hospital (Arnold Luterman Regional Burn Center),18.0
Minnesota ,Regions Hospital/Gillette Children's Specialty Healthcare (Regions Hospital Burn Center),18.0
Minnesota ,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),17.0
Iowa,University of Iowa Hospitals and Clinics/Stead Family Children's Hospital (UI Burn Center),17.0
Virginia,VCU Medical Center (Evans-Haynes Burn Center),16.0
Virginia,Sentara Norfolk General Hospital (Burn Center at Sentara Norfolk General Hospital),16.0
Oregon,Legacy Emanuel Medical Center/Randall Children's Hospital (Oregon Burn Center),16.0
California,Bothin Burn Center at St. Francis Memorial Hospital,16.0
Kansas,The University of Kansas Hospital (Burnett Burn Center),16.0
Kentucky,UL Hospital (University of Louisville Burn Center),16.0
Nebraska,CHI Health St. Elizabeth Regional Burn Center,16.0
New York,NYC Health + Hospitals / Jacobi Medical Center (Jacobi Burn Center),16.0
Michigan,University of Michigan Health System/C.S. Mott Children's Hospital (UM Trauma Burn Center),16.0
Nevada,University Medical Center (Lions Burn Center),16.0
Utah,University of Utah Health (University of Utah Health Burn Center),15.0
Texas,Medical City Plano (Burn and Reconstructive Center),15.0
Idaho,Eastern Idaho Regional Medical Center (Burn Center at EIRMC),15.0
Ohio,Nationwide Children's Hospital (Burn Center at Nationwide Children's Hospital),15.0
Nevada,Sunrise Hospital and Medical Center (Burn and Reconstructive Center of Sunrise Hospital),15.0
Indiana,Eskenazi Health (Richard M. Fairbanks Burn Center),15.0
Minnesota ,Miller-Dwan Burn Center at Essentia Health Duluth,15.0
Massachusetts,Shriners Burn Center at Shriners Hospitals for Children-Boston,15.0
Massachusetts,Brigham and Women's Hospital (Burn Center),15.0
Michigan,Hurley Medical Center/Hurley Children's Hospital (Hurley Medical Center Regional Burn Center),15.0
Pennsylvania,Crozer-Chester Medical Center (Nathan Speare Regional Burn Treatment Center),14.0
Illinois,University of Chicago Medical Center (University of Chicago Burn Center),14.0
Tennessee,Regional One Health (Firefighters Regional One Burn Center),14.0
California,Arrowhead Regional Medical Center (Edward G. Hirschman Burn Center),14.0
Pennsylvania,West Penn Hospital Burn Center,14.0
Ohio,MetroHealth Medical Center (Burn Care Center at MetroHealth),14.0
Texas,Memorial Hermann Texas Medical Center (John S. Dunn Burn Center),14.0
Louisiana,Ochsner LSU Health Shreveport (LSU Health Burn Center),13.0
Missouri,Children's Mercy Kansas City (Children's Mercy Burn Unit),13.0
Oklahoma,Ascension St. John Medical Center (Alexander Burn Center),13.0
Ohio,Akron Children's Hospital (Akron Children's Hospital Burn Center),12.0
Michigan,Detroit Receiving Hospital (Detroit Receiving Hospital Burn Center),12.0
Kansas,Ascension Via Christi St. Francis (Ascension Via Christi Regional Burn Center),12.0
Florida,Blake Medical Center (Burn Center at Blake Medical Center),12.0
California,UC Davis Medical Center (UC Davis Regional Burn Center),12.0
California,Torrance Memorial Burn Center,12.0
Missouri,Mercy Hospital St. Louis (Mercy Burn Center St. Louis),12.0
Tennessee,TriStar Skyline Medical Center (TriStar Skyline Burn and Reconstruction Center),12.0
New Jersey,The Burn Center at Cooperman Barnabas Medical Center,12.0
Wisconsin,Ascension Columbia St. Mary's Hospital Regional Burn Center,12.0
Wisconsin,University of Wisconsin Hospitals (UW Burn and Wound Center),11.0
Arkansas,Arkansas Children's Hospital (Arkansas Children's Hospital Burn Center),10.0
New York,Nassau University Medical Center (Nassau County Firefighters Burn Center),10.0
New Mexico,University of New Mexico Hospital (UNM Regional Burn Center),10.0
Florida,Orlando Regional Medical Center/Arnold Palmer Hospital for Children (Warden Burn Center),10.0
Indiana,Riley Hospital for Children at Indiana University Health (Burn Program at Riley IU Health),10.0
Colorado,North Colorado Medical Center (Western States Burn Center),10.0
Texas,University Medical Center (Timothy J. Harnar Burn Center),10.0
Ohio,Mercy St. Vincent Medical Center (Mercy Health Medical Burn Center),10.0
Pennsylvania,Temple University Hospital (Temple Burn Center),10.0
New York,Westchester Medical Center/Maria Fareri Children's Hospital (Trauma Center at Westchester Medical Center),10.0
New York,Staten Island University Hospital (Staten Island University Hospital Burn Center),10.0
California,Community Regional Medical Center (Leon S. Peters Burn Center),10.0
Ohio,University of Cincinnati Medical Center (UC Medical Center Burn Center),10.0
California,Shriners Burn Center at Shriners Hospitals for Children - Nothern California,10.0
Michigan,DMC - Children's Hospital of Michigan (Children's Hospital of Michigan Burn Center),10.0
District of Columbia,MedStar Washington Hospital Center (The Burn Center at MedStar Washington Hospital Center),10.0
Connecticut,Bridgeport Hospital (The Connecticut Burn Center),9.0
Pennsylvania,UPMC Mercy (UPMC Mercy Burn Center),9.0
Vermont,The University of Vermont Medical Center (University of Vermont Burn Center),9.0
Missouri,Mercy Hospital Springfield (Mercy Burn Center Springfield),9.0
New York,Stony Brook Medicine (Suffolk County Volunteer Firefighters Burn Center),8.0
California,Santa Clara Valley Medical Center (Santa Clara Valley Medical Center Regional Burn Center),8.0
Ohio,Miami Valley Hospital (Miami Valley Hospital Regional Burn Center),8.0
New York,"Erie County Medical Center (Roger W. Seibel, MD, Burn Treatment Center)",8.0
Michigan,Spectrum Health - Butterworth Hospital/Helen DeVos Children's Hospital (Spectrum Health Regional Burn Center),8.0
California,UC Irvine Health (UCI Regional Burn Center),8.0
California,The Grossman Burn Center at West Hills Hospital & Medical Center ,8.0
Michigan,Bronson Methodist Hospital (Bronson Methodist Hospital Burn Center),8.0
California,UC San Diego Medical Center (UCSD Regional Burn Center),8.0
Missouri,HCA Research Medical Center (The Grossman Burn Center),8.0
Louisiana,Baton Rouge General Regional Burn Center,8.0
Indiana,Ascension St. Vincent Indianapolis Hospital/Peyton Manning Children's Hospital (Burn Center),8.0
Indiana,Lutheran Hospital (Lutheran Hospital Burn Center),8.0
Illinois,OSF Saint Anthony Medical Center (w/ Burn Unit),8.0
Illinois,Memorial Medical Center (Regional Burn Center),8.0
Hawaii,Straub Burn Center,7.0
California,The Grossman Burn Center at Bakersfield Memorial Hospital ,7.0
California,Orange County Global Medical Center (Orange County Burn Center),7.0
Ohio,Dayton Children's Hospital (Shriners Children's Ohio Burn Center),7.0
Maine,Maine Medical Center (Maine Medical Center Burn Unit),6.0
Alabama,Children's of Alabama (Children's of Alabama Burn Center),6.0
Louisiana,Grossman Burn Center at Our Lady of Lourdes Regional Medical Center,6.0
Missouri,St. Louis Children's Hospital (Children's Hospital Burn Center),6.0
New York,Upstate University Hospital/Upstate Golisano Children's Hospital (Clark Burn Center),6.0
Texas,University of Texas Medical Branch (Blocker Burn Unit),6.0
Wisconsin,Children's Wisconsin (Children's Wisconsin Burn Program),5.0
New York,NYC Health + Hospitals / Harlem Hospital (Harlem Burn Center),5.0
West Virginia,Cabell Huntington Hospital (Cabell Huntington Burn Intensive Care Unit),4.0
Colorado,Children's Hospital Colorado (Children's Hospital Colorado Burn Center),3.0
Arizona,Banner Thunderbird Medical Center,0.0
Virginia,Riverside Regional Medical Center,0.0
Virginia,University of Virginia Medical Center,0.0
Virginia,Virginia Hospital Center in Arlington,0.0
Virginia,Winchester Medical Center,0.0
Wisconsin,Aurora Medical Center Summit,0.0
Wisconsin,Froedtert Hospital,0.0
Wisconsin,Gundersen Lutheran Medical Center,0.0
Virginia,Carilion Roanoke Memorial Hospital,0.0
Virginia,Centra Lynchburg General Hospital,0.0
Virginia,Children's Hospital of The King's Daughters,0.0
Virginia,Henrico Doctors' Hospital,0.0
Virginia,Inova Fairfax Hospital,0.0
Virginia,Mary Washington Hospital,0.0
Arizona,Abrazo West Campus,0.0
Connecticut,Danbury Hospital,0.0
Connecticut,Hartford Hospital,0.0
Connecticut,Norwalk Hospital,0.0
Connecticut,Saint Francis Hospital and Medical Center,0.0
Connecticut,Saint Mary's Hospital,0.0
Connecticut,St. Vincent's Medical Center ,0.0
Connecticut,Stamford Hospital,0.0
Connecticut,Waterbury Hospital,0.0
Connecticut,Yale-New Haven Hospital,0.0
Washington,Providence Sacred Heart Medical Center & Children's Hospital,0.0
Washington,Tacoma Trauma Center,0.0
West Virginia,Charleston Area Medical Center,0.0
West Virginia,St. Mary's Medical Center - Huntington,0.0
West Virginia,West Virginia University Hospitals (J.W. Ruby Memorial Hospital),0.0
West Virginia,Wheeling Hospital,0.0
Florida,Wolfson Children's Hospital,0.0
Florida,Ascension Sacred Heart Pensacola,0.0
Florida,Aventura Hospital and Medical Center,0.0
Florida,Baptist Hospital,0.0
Florida,Bayfront Health St. Petersburg,0.0
Florida,Broward Health Medical Center,0.0
Florida,Broward Health North,0.0
