HOSPITAL_NAME,CITY_x,STATE_x,STATE_FULL_x,TRAUMA_ADULT_x,TRAUMA_PEDS_x,BURN_ADULT_x,BURN_PEDS_x,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score,STATE_FULL_y,STATE_y,COUNTY,ADDRESS,CITY_y,ZIP_CODE,AHA_ID,TOTAL_BEDS,BURN_BEDS_x,TRAUMA_ADULT_y,TRAUMA_PEDS_y,BURN_ADULT_y,BURN_PEDS_y,ACS_VERIFIED,ADULT_TRAUMA_L1,ADULT_TRAUMA_L2,PEDS_TRAUMA_L1,PEDS_TRAUMA_L2,ABA_VERIFIED,TC_STATE_DESIGNATED,BC_STATE_DESIGNATED,PHONE,FULL_ADDRESS,LATITUDE,LONGITUDE,nearest_burn_distance_miles,STATE_FULL,BURN_BEDS_y,bed_score,capacity_score,distance_score,burn_gap_score,capacity_score_norm
Providence Alaska Medical Center/Children's Hospital at Providence,Anchorage,AK,Alaska,1,1,0,0,1,1,1,1.0,Alaska,AK,Anchorage,3200 Providence Dr,Anchorage,99508,6940020.0,401,,1.0,1.0,,,Yes,,1.0,,1.0,,Yes,,(907) 562-2211,"3200 Providence Dr, Anchorage, AK 99508",61.1871675,-149.8194391,1431.5553914262182,Alaska,0.0,1.0,1.0,1.0,1,1.0
Alaska Native Medical Center,Anchorage,AK,Alaska,1,1,0,0,1,1,1,0.9998019739330464,Alaska,AK,Anchorage,4315 Diplomacy Dr,Anchorage,99508,6940010.0,173,,1.0,1.0,,,Yes,,1.0,,1.0,,Yes,,(907) 563-2662,"4315 Diplomacy Dr, Anchorage, AK 99508",61.1827723,-149.8001772,1430.846678216742,Alaska,0.0,1.0,1.0,0.9995049348326158,1,1.0
Trinity Health,Minot,ND,North Dakota,1,0,0,0,1,0,0,0.7230467448183666,North Dakota,ND,Ward,1 Burdick Expy,Minot,58701,6640004.0,251,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 857-5000,"1 Burdick Expy, Minot, ND 58701",48.232724,-101.292842,440.3705773554468,North Dakota,0.0,1.0,1.0,0.3076168620459164,1,1.0
Sanford Medical Center,Bismarck,ND,North Dakota,1,0,0,0,1,0,0,0.7070340769528296,North Dakota,ND,Burleigh,300 North 7th St,Bismarck,58501,6640020.0,242,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 323-6000,"300 North 7th St, Bismarck, ND 58501",46.8074941,-100.7823346,383.0630248203802,North Dakota,0.0,1.0,1.0,0.26758519238207423,1,1.0
CHI St. Alexius Health Bismarck,Bismarck,ND,North Dakota,1,0,0,0,1,0,0,0.706965779859581,North Dakota,ND,Burleigh,900 E Broadway,Bismarck,58501,6640040.0,286,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 530-7000,"900 E Broadway, Bismarck, ND 58501",46.8073409,-100.777008,382.8185971402327,North Dakota,0.0,1.0,1.0,0.2674144496489524,1,1.0
Benefis Hospitals,Great Falls,MT,Montana,1,0,0,0,1,0,0,0.6782443776859126,Montana,MT,Cascade,1101 26th St S,Great Falls,59405,6810003.0,530,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 455-5000,"1101 26th St S, Great Falls, MT 59405",47.4906909,-111.2617623,280.02790181264373,Montana,0.0,1.0,1.0,0.19561094421478156,1,1.0
Monument Health Rapid City Hospital,Rapid City,SD,South Dakota,1,0,0,0,1,0,0,0.6734301195396983,South Dakota,SD,Meade,353 Fairmont Blvd,Rapid City,57701,6650002.0,417,,1.0,,,,Yes,,1.0,,,No,Yes,,(605) 755-1000,"353 Fairmont Blvd, Rapid City, SD 57701",44.0564532,-103.2252396,262.79820880031724,South Dakota,0.0,1.0,1.0,0.18357529884924592,1,1.0
Providence St. Patrick Hospital,Missoula,MT,Montana,1,0,0,0,1,0,0,0.6711838484753538,Montana,MT,Missoula,500 W Broadway,Missoula,59802,6810430.0,237,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 543-7271,"500 W Broadway, Missoula, MT 59802",46.8751479,-114.0002654,254.75905516839927,Montana,0.0,1.0,1.0,0.1779596211883845,1,1.0
Altru Health System,Grand Forks,ND,North Dakota,1,0,0,0,1,0,0,0.6685394051322716,North Dakota,ND,Grand Forks,1200 S Columbia Rd,Grand Forks,58201,6640001.0,257,,1.0,,,,Yes,,1.0,,,No,Yes,,(701) 780-5000,"1200 S Columbia Rd, Grand Forks, ND 58201",47.9105416,-97.0689328,245.29488735562316,North Dakota,0.0,1.0,1.0,0.1713485128306791,1,1.0
SCL Health - St. Vincent Healthcare,Billings,MT,Montana,1,0,0,0,1,0,0,0.6654855254759043,Montana,MT,Yellowstone,1233 N 30th St,Billings,59101,6810030.0,286,,1.0,,,,Yes,,1.0,,,,Yes,,(406) 237-7000,"1233 N 30th St, Billings, MT 59101",45.7933952,-108.517842,234.36539263852467,Montana,0.0,1.0,1.0,0.16371381368976093,1,1.0
